line,champion1,champion2,winning_rage,match_count
Bottom,Ashe,Aphelios,58.03,498
Bottom,Ashe,Kog'Maw,50.94,424
Bottom,Ashe,Xayah,53.7,419
Bottom,Ashe,Kalista,56.22,386
Bottom,Ashe,Twitch,47.26,292
Bottom,Ashe,Senna,54.51,277
Bottom,Ashe,Draven,51.7,265
Bottom,Ashe,Yasuo,48.68,189
Bottom,Ashe,Swain,45.16,155
Bottom,Ashe,Tahm Kench,58.51,94
Middle,Aurelion Sol,Sylas,48.3,176
Middle,Aurelion Sol,Yasuo,62.14,140
Middle,Aurelion Sol,Zed,51.09,137
Middle,Aurelion Sol,Akali,59.09,132
Middle,Aurelion Sol,Yone,51.18,127
Middle,Aurelion Sol,Katarina,50.4,125
Middle,Aurelion Sol,Talon,55.88,102
Middle,Aurelion Sol,LeBlanc,61,100
Middle,Aurelion Sol,Twisted Fate,54.76,84
Middle,Aurelion Sol,Xerath,45.45,66
Middle,Aurelion Sol,Ahri,48.39,62
Middle,Aurelion Sol,Lucian,45.16,62
Middle,Aurelion Sol,Viktor,54.1,61
Middle,Aurelion Sol,Irelia,56.9,58
Middle,Aurelion Sol,Viego,48.21,56
Middle,Aurelion Sol,Qiyana,58.49,53
Middle,Aurelion Sol,Vladimir,54.72,53
Middle,Aurelion Sol,Galio,60.38,53
Middle,Azir,Sylas,48.6,286
Middle,Azir,Yasuo,46.9,226
Middle,Azir,Akali,50.24,207
Middle,Azir,Zed,48.77,203
Middle,Azir,Katarina,41.18,187
Middle,Azir,Yone,46.37,179
Middle,Azir,LeBlanc,50,164
Middle,Azir,Talon,44.51,164
Middle,Azir,Xerath,40.14,147
Middle,Azir,Twisted Fate,47.76,134
Middle,Azir,Irelia,51.79,112
Middle,Azir,Viktor,44,100
Middle,Azir,Vladimir,47.37,95
Middle,Azir,Viego,46.81,94
Middle,Azir,Qiyana,48.94,94
Middle,Azir,Lucian,39.56,91
Middle,Azir,Ahri,46.34,82
Middle,Azir,Galio,48.15,81
Middle,Azir,Pantheon,46.75,77
Middle,Azir,Zoe,39.71,68
Middle,Azir,Fizz,40.3,67
Middle,Azir,Anivia,37.5,64
Middle,Azir,Orianna,52.38,63
Middle,Azir,Lux,39.68,63
Middle,Azir,Diana,37.29,59
Support,Bard,Thresh,49.18,976
Support,Bard,Lulu,50,854
Support,Bard,Senna,45.81,716
Support,Bard,Leona,46.71,653
Support,Bard,Blitzcrank,46.14,492
Support,Bard,Nautilus,49.79,482
Support,Bard,Xerath,47.39,479
Support,Bard,Alistar,49.35,462
Support,Bard,Yuumi,54.23,426
Support,Bard,Lux,48.12,345
Support,Bard,Pyke,50.99,304
Support,Bard,Morgana,56.14,285
Support,Bard,Karma,50,278
Support,Bard,Maokai,48.62,218
Support,Bard,Galio,54.7,181
Support,Bard,Sett,62.58,155
Support,Bard,Shaco,49.35,154
Support,Bard,Swain,49.34,152
Support,Bard,Pantheon,54.73,148
Support,Bard,Soraka,48.97,145
Support,Bard,Zyra,49.31,144
Support,Bard,Zilean,45.45,143
Support,Bard,Rell,54.68,139
Support,Bard,Brand,58.21,134
Support,Bard,Rakan,48.82,127
Support,Bard,Seraphine,44.04,109
Support,Bard,Janna,53.85,104
Support,Bard,Vel'Koz,40.4,99
Support,Bard,Nami,50,82
Support,Bard,Braum,65.15,66
Support,Blitzcrank,Thresh,51.59,"6,637"
Support,Blitzcrank,Senna,48.74,"4,848"
Support,Blitzcrank,Lulu,49.58,"3,848"
Support,Blitzcrank,Xerath,51.77,"3,672"
Support,Blitzcrank,Leona,47.24,"3,601"
Support,Blitzcrank,Alistar,49.16,"3,346"
Support,Blitzcrank,Nautilus,51.19,"2,764"
Support,Blitzcrank,Lux,54.36,"2,697"
Support,Blitzcrank,Yuumi,53.84,"2,069"
Support,Blitzcrank,Pyke,54.82,"1,877"
Support,Blitzcrank,Morgana,52.13,"1,690"
Support,Blitzcrank,Maokai,49.34,"1,133"
Support,Blitzcrank,Karma,54.49,"1,103"
Support,Blitzcrank,Sett,51.96,"1,099"
Support,Blitzcrank,Galio,50.87,"1,040"
Support,Blitzcrank,Pantheon,53.03,"1,022"
Support,Blitzcrank,Swain,52.43,904
Support,Blitzcrank,Soraka,51.68,832
Support,Blitzcrank,Brand,49.94,801
Support,Blitzcrank,Zyra,50.2,735
Support,Blitzcrank,Shaco,49.25,731
Support,Blitzcrank,Zilean,47.63,718
Support,Blitzcrank,Seraphine,56.44,714
Support,Blitzcrank,Rell,54.46,707
Support,Blitzcrank,Rakan,50.92,595
Support,Blitzcrank,Janna,51.22,572
Support,Blitzcrank,Vel'Koz,52.86,507
Support,Blitzcrank,Braum,51,498
Support,Blitzcrank,Bard,53.86,492
Support,Blitzcrank,Nami,55.56,459
Support,Blitzcrank,Shen,52.44,307
Support,Blitzcrank,Sona,51.89,291
Support,Blitzcrank,Neeko,55.11,225
Support,Blitzcrank,Veigar,55.25,219
Support,Blitzcrank,Zac,50.25,197
Support,Blitzcrank,Gragas,51.61,186
Support,Blitzcrank,Taric,45.41,185
Support,Blitzcrank,Anivia,50.3,165
Support,Blitzcrank,Poppy,45.89,146
Support,Blitzcrank,Tahm Kench,53,100
Support,Brand,Thresh,54.18,"1,329"
Support,Brand,Senna,50.71,"1,266"
Support,Brand,Leona,48.76,968
Support,Brand,Lulu,51.33,937
Support,Brand,Lux,48.55,933
Support,Brand,Xerath,46.85,920
Support,Brand,Blitzcrank,50.06,801
Support,Brand,Nautilus,51.33,754
Support,Brand,Alistar,51.64,639
Support,Brand,Morgana,50.34,586
Support,Brand,Yuumi,50.27,553
Support,Brand,Pyke,50.2,496
Support,Brand,Karma,53.67,341
Support,Brand,Maokai,45.21,303
Support,Brand,Pantheon,54.21,297
Support,Brand,Soraka,56,275
Support,Brand,Galio,47.31,260
Support,Brand,Swain,51.94,258
Support,Brand,Shaco,45.61,228
Support,Brand,Zyra,49.32,219
Support,Brand,Sett,55.25,219
Support,Brand,Seraphine,50,206
Support,Brand,Rell,48.47,196
Support,Brand,Zilean,52.41,187
Support,Brand,Vel'Koz,48.34,151
Support,Brand,Janna,45.59,136
Support,Brand,Rakan,56.62,136
Support,Brand,Bard,41.79,134
Support,Brand,Nami,50.83,120
Support,Brand,Neeko,55.17,87
Support,Brand,Shen,61.73,81
Support,Brand,Braum,55.26,76
Support,Brand,Sona,55.56,63
Support,Brand,Veigar,55,60
Support,Brand,Anivia,42.86,56
