from,to,title,length,win,color,arrows,dashes,value,smooth
3,91,<p> Match Cnt : <b>1465</b><br> Winning rate : <b>48.33</b></p>,1000,48.33,#F6807F,to,FALSE,1465,FALSE
3,32,<p> Match Cnt : <b>1461</b><br> Winning rate : <b>44.7</b></p>,1000,44.7,#F6807F,to,FALSE,1461,FALSE
3,143,<p> Match Cnt : <b>1404</b><br> Winning rate : <b>50.36</b></p>,1000,50.36,#8CB4F7,to,FALSE,1404,FALSE
3,42,<p> Match Cnt : <b>1295</b><br> Winning rate : <b>54.98</b></p>,1000,54.98,#8CB4F7,to,FALSE,1295,FALSE
3,138,<p> Match Cnt : <b>1275</b><br> Winning rate : <b>45.96</b></p>,1000,45.96,#F6807F,to,FALSE,1275,FALSE
3,88,<p> Match Cnt : <b>1260</b><br> Winning rate : <b>45.32</b></p>,1000,45.32,#F6807F,to,FALSE,1260,FALSE
3,2,<p> Match Cnt : <b>1139</b><br> Winning rate : <b>44.25</b></p>,1000,44.25,#F6807F,to,FALSE,1139,FALSE
3,68,<p> Match Cnt : <b>1054</b><br> Winning rate : <b>50.28</b></p>,1000,50.28,#8CB4F7,to,FALSE,1054,FALSE
3,137,<p> Match Cnt : <b>1049</b><br> Winning rate : <b>50.52</b></p>,1000,50.52,#8CB4F7,to,FALSE,1049,FALSE
3,31,<p> Match Cnt : <b>852</b><br> Winning rate : <b>49.41</b></p>,1000,49.41,#F6807F,to,FALSE,852,FALSE
3,70,<p> Match Cnt : <b>838</b><br> Winning rate : <b>47.26</b></p>,1000,47.26,#F6807F,to,FALSE,838,FALSE
3,22,<p> Match Cnt : <b>740</b><br> Winning rate : <b>49.86</b></p>,1000,49.86,#F6807F,to,FALSE,740,FALSE
3,25,<p> Match Cnt : <b>681</b><br> Winning rate : <b>50.22</b></p>,1000,50.22,#8CB4F7,to,FALSE,681,FALSE
3,152,<p> Match Cnt : <b>676</b><br> Winning rate : <b>48.82</b></p>,1000,48.82,#F6807F,to,FALSE,676,FALSE
3,100,<p> Match Cnt : <b>664</b><br> Winning rate : <b>48.04</b></p>,1000,48.04,#F6807F,to,FALSE,664,FALSE
3,86,<p> Match Cnt : <b>645</b><br> Winning rate : <b>49.15</b></p>,1000,49.15,#F6807F,to,FALSE,645,FALSE
3,6,<p> Match Cnt : <b>641</b><br> Winning rate : <b>47.11</b></p>,1000,47.11,#F6807F,to,FALSE,641,FALSE
3,54,<p> Match Cnt : <b>610</b><br> Winning rate : <b>47.05</b></p>,1000,47.05,#F6807F,to,FALSE,610,FALSE
3,106,<p> Match Cnt : <b>521</b><br> Winning rate : <b>45.68</b></p>,1000,45.68,#F6807F,to,FALSE,521,FALSE
3,101,<p> Match Cnt : <b>511</b><br> Winning rate : <b>53.23</b></p>,1000,53.23,#8CB4F7,to,FALSE,511,FALSE
3,72,<p> Match Cnt : <b>428</b><br> Winning rate : <b>42.52</b></p>,1000,42.52,#F6807F,to,FALSE,428,FALSE
3,97,<p> Match Cnt : <b>413</b><br> Winning rate : <b>47.22</b></p>,1000,47.22,#F6807F,to,FALSE,413,FALSE
3,47,<p> Match Cnt : <b>402</b><br> Winning rate : <b>46.02</b></p>,1000,46.02,#F6807F,to,FALSE,402,FALSE
