id,shape,size,title,value,label,group,color,shadow
137,circle,42671,<p>Line : <b>M</b><br>Match Cnt : <b>42671</b><br>Tier : <b>3</b></p>,4267100,Viktor,M,#E5C494,FALSE
89,triangle,17216,<p>Line : <b>TJS</b><br>Match Cnt : <b>17216</b><br>Tier : <b>4</b></p>,1721600,Poppy,TJS,#BEBADA,FALSE
102,star,37045,<p>Line : <b>A</b><br>Match Cnt : <b>37045</b><br>Tier : <b>1</b></p>,3704500,Samira,A,#FDC086,FALSE
111,triangle,13549,<p>Line : <b>TM</b><br>Match Cnt : <b>13549</b><br>Tier : <b>4</b></p>,1354900,Sion,TM,#E41A1C,FALSE
116,star,22485,<p>Line : <b>TM</b><br>Match Cnt : <b>22485</b><br>Tier : <b>1</b></p>,2248500,Sylas,TM,#E41A1C,FALSE
107,diamond,46546,<p>Line : <b>JS</b><br>Match Cnt : <b>46546</b><br>Tier : <b>2</b></p>,4654600,Shaco,JS,#CCEBC5,FALSE
104,square,19882,<p>Line : <b>AS</b><br>Match Cnt : <b>19882</b><br>Tier : <b>5</b></p>,1988200,Senna,AS,#FC8D62,FALSE
105,triangle,12705,<p>Line : <b>S</b><br>Match Cnt : <b>12705</b><br>Tier : <b>4</b></p>,1270500,Seraphine,S,#FCCDE5,FALSE
103,triangle,39172,<p>Line : <b>J</b><br>Match Cnt : <b>39172</b><br>Tier : <b>4</b></p>,3917200,Sejuani,J,#FFFFCC,FALSE
106,square,161370,<p>Line : <b>TMS</b><br>Match Cnt : <b>161370</b><br>Tier : <b>5</b></p>,16137000,Sett,TMS,#FFFF99,FALSE
113,square,66905,<p>Line : <b>S</b><br>Match Cnt : <b>66905</b><br>Tier : <b>5</b></p>,6690500,Sona,S,#FCCDE5,FALSE
114,triangle,7657,<p>Line : <b>S</b><br>Match Cnt : <b>7657</b><br>Tier : <b>4</b></p>,765700,Soraka,S,#FCCDE5,FALSE
108,square,5550,<p>Line : <b>TS</b><br>Match Cnt : <b>5550</b><br>Tier : <b>5</b></p>,555000,Shen,TS,#B3DE69,FALSE
109,square,69012,<p>Line : <b>J</b><br>Match Cnt : <b>69012</b><br>Tier : <b>5</b></p>,6901200,Shyvana,J,#FFFFCC,FALSE
115,triangle,65419,<p>Line : <b>AS</b><br>Match Cnt : <b>65419</b><br>Tier : <b>4</b></p>,6541900,Swain,AS,#FC8D62,FALSE
112,diamond,87964,<p>Line : <b>A</b><br>Match Cnt : <b>87964</b><br>Tier : <b>2</b></p>,8796400,Sivir,A,#FDC086,FALSE
144,diamond,60588,<p>Line : <b>J</b><br>Match Cnt : <b>60588</b><br>Tier : <b>2</b></p>,6058800,Xin Zhao,J,#FFFFCC,FALSE
117,square,7549,<p>Line : <b>M</b><br>Match Cnt : <b>7549</b><br>Tier : <b>5</b></p>,754900,Syndra,M,#E5C494,FALSE
110,triangle,28915,<p>Line : <b>T</b><br>Match Cnt : <b>28915</b><br>Tier : <b>4</b></p>,2891500,Singed,T,#BEAED4,FALSE
123,star,28777,<p>Line : <b>S</b><br>Match Cnt : <b>28777</b><br>Tier : <b>1</b></p>,2877700,Thresh,S,#FCCDE5,FALSE
2,diamond,27646,<p>Line : <b>M</b><br>Match Cnt : <b>27646</b><br>Tier : <b>2</b></p>,2764600,Ahri,M,#E5C494,FALSE
5,square,25341,<p>Line : <b>J</b><br>Match Cnt : <b>25341</b><br>Tier : <b>5</b></p>,2534100,Amumu,J,#FFFFCC,FALSE
10,diamond,75890,<p>Line : <b>M</b><br>Match Cnt : <b>75890</b><br>Tier : <b>2</b></p>,7589000,Aurelion Sol,M,#E5C494,FALSE
43,triangle,8245,<p>Line : <b>J</b><br>Match Cnt : <b>8245</b><br>Tier : <b>4</b></p>,824500,Ivern,J,#FFFFCC,FALSE
11,square,14039,<p>Line : <b>M</b><br>Match Cnt : <b>14039</b><br>Tier : <b>5</b></p>,1403900,Azir,M,#E5C494,FALSE
3,circle,50055,<p>Line : <b>TM</b><br>Match Cnt : <b>50055</b><br>Tier : <b>3</b></p>,5005500,Akali,TM,#E41A1C,FALSE
1,star,8799,<p>Line : <b>T</b><br>Match Cnt : <b>8799</b><br>Tier : <b>1</b></p>,879900,Aatrox,T,#BEAED4,FALSE
